University,Deadline,GRE Quants (Range/Average),GRE Verbal (Range/Average), 
Harvard University,"Dec 15, 2018",167,160,Official Page
Stanford University,"Dec 4, 2018",167,159,Official Page
MIT,"Dec 1 / Dec 15, 2018",164 - 167,161 - 162,Official Page
CalTech,Dec 1 / Dec 15 / Jan 1,164 - 168,162 - 166,Official Page
UC Berekeley,"Dec 15, 2018 / Jan 6, 2019",166,157,Official Page
Georgia Tech,"Jan 15 / Feb 1, 2019",155 - 162,146 - 154,Official Page
UT Austin,Dec 1 / Dec 15,157 - 164,155,Official Page
Carnegie Mellon,"Dec 15, 2018 / Jan 15, 2019",159 - 163,159,Official Page
Wisconsin-Madison,"Dec 15, 2018 / May 1, 2019",160,157,Official Page
Cornell University,Dec 5 (Priority) / Jan 15 / Feb 1,161 – 165,152 – 160,Official Page
Yale University,Dec 15 / Jan 2,158 - 165,150 - 160,Official Page
Illinois Urbana Champaign,Dec 1 / Dec 10 (Eng.) / Mar 15 (CS),159 - 163,157 - 162,Computer Science
Duke University,Jan 1 / Jan 15 / Mar 15,154 - 160,160 - 165,Official Page
Univerity of Chicago,"Dec 1, 2018 / Jan 5, 2019",155,157,Official Page
University of Pennsylvania ,Nov 15 / Feb 1 / Mar 15,157 - 166,154 - 159,Official Page
University of Michigan,"Jan 15, 2019",160 - 167,155,Official Page
Northwestern University,"Dec 15, 2019",159 - 163,157 - 160,Official Page
Purdue University,"Dec 15, 2018 (Priority) / May 1 (Final)",162 - 165,158 - 161,Official Page
Columbia University,Dec 15 / Jan 6,164,157,Official Page
Arizona State University,Dec 1 / Dec 15 / Jan 15,157,154,Official Page
Johns Hopkins University,Dec 15 / Dec 22 / Jan 5,164,158,Official Page
Rice University,"Dec 31, 2018",166,159,Official Page
New York University (NYU),"Feb 15, 2019",160 - 164,152 - 155,Official Page
University of Southern California (USC),"Dec 15, 2018 (Scholarship) / Jan 15, 2019 (Final)",160 - 166,151,Official Page
UC Los Angeles (UCLA),"Dec 1, 2018",165,154,Official Page
UC San Diego,"Dec 18, 2018 (anticipated)",164,154,Official Page
UC Davis,Dec 1 / Jan 5 / Jan 15 / Mar 1,160 - 162,154 - 157,Official Page
"University of Maryland, College Park",Dec 16 (Financial AId) / Mar 15 (Final),152 – 164,149 - 154,Official Page
Princeton University,"Dec 15, 2018",163 - 166,152 - 162,Official Page
University of Florida,Dec 31 / Jan 15,155 - 160,150 - 155,Official Page
University of Minnesota,"Mar 1, 2019",160,153,Official Page
Brown University,"Dec 31, 2018",152 - 165,149 - 157,Official Page
Colorado School of Mines,Dec 15 (Priority) / Mar 1 (Final),159,156,Official Page
Texas A&M,Jan 15 / Mar 1,158 - 164,157,Official Page
North Carolina State University (Raleigh),"Mar 1, 2019",157,153,Official Page
UC Santa Barbara,"Dec 15, 2018",158 – 163,150 - 156,Official Page
Ohio State University,Jan 31 / Feb 1,158,154,Official Page
Virginia Tech,"Apr 1, 2019",155 - 161,154 - 159,Official Page
University of Colorado Boulder,Dec 1 / Dec 15,158,154,Official Page
Penn State,"Dec 15, 2018",153 - 158,149 - 152,Official Page
Boston University,"Jan 15, 2019",157 - 160,151 - 155,Official Page
UC Irvine,Dec 15 / Jan 15,155,155,Official Page
Northeastern University,Jan 21 (Funding) / May 15 (Final),158,145 - 149,Official Page
Vanderbilt University,"Jan 15, 2019",158-162,157 - 161,Official Page
University of Virginia,"Dec 15, 2018 (Scholarship) / Apr 1, 2019 (Final Deadline)",160,156,Official Page
Rensselaer Polytechnic Institute ,"Jan 1, 2019",163,159,Official Page
University of Delaware,Jan 15 / Feb 1 (Scholarship) / Mar 1 / Apr 1 (Final),150 - 155,146 - 150,Official Page
University of Pittsburgh,Dec 1 / Mar 1,155,151,Official Page
Case Western Reserve University,Dec 15 / Jan 15,158 - 164,155 - 160,Official Page
University of Notre Dame,"Dec 15, 2018",163,155,Official Page
Dartmouth College,"Jan 1, 2019",164,158,Official Page
Rutgers State University of New Jersey,"Feb 1, 2019",150 - 156,148 - 150,Official Page
University of Tennessee Knoxville,"Feb 1, 2019",156- 161,154 - 158,Official Page
UT Dallas,Jan 15 (Priority) / May 1 (Final Deadline),156,154,Official Page
Michigan State,Dec 30 (Financial Aid Deadline),164,153,Official Page
Iowa State University,"Jan 15, 2019",155 - 160,154,Official Page
University of Rochester,Jan 1 / Feb 15,160,155,Official Page
University of North Carolina – Charlotte,"Mar 1, 2019",157 – 161,152 - 158,Official Page
University of North Carolina – Chapel Hill,"Dec 12, 2018",154 - 159,149 - 155,Official Page
University of Utah,"Apr 1, 2019",151,156,Official Page
